;product_name;origins;pnns_groups_1;pnns_groups_2;nutriscore_score;categories_tags;image_url;additives_n;energy-kj_100g;calcium_100g;vitamin-d_100g;proteins_100g;sugars_100g;fat_100g;iron_100g;fiber_100g;sodium_100g;saturated-fat_100g;nutriscore lettre
0;Moelleux au chocolat;;unknown;unknown;16.0;;https://images.openfoodfacts.org/images/products/000/000/003/1141/front_en.4.400.jpg;0.0;1401.2;0.036;;6.2;32.3;28.6;0.00327;7.3;0.52;18.3;D
1;Peanut Butter;;Cereals and potatoes;Legumes;-1.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/00014878/front_en.13.400.jpg;0.0;1355.6;0.062;;21.0;3.0;48.0;0.00225;9.4;0.0;7.5;A
2;Peanut Butter;;Cereals and potatoes;Legumes;0.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:legumes-and-their-products,en:spreads,en:nuts-and-their-products,en:plant-based-spreads,en:oilseed-purees,en:legume-butters,en:nut-butters,en:peanut-butters;https://images.openfoodfacts.org/images/products/00014892/front_en.4.400.jpg;0.0;1356.8;0.062;;25.0;6.25;50.0;0.00225;9.4;0.0;7.8125;B
3;Traders Joe's, Baking Powder;;unknown;unknown;10.0;en:cooking-helpers;https://images.openfoodfacts.org/images/products/00015165/front_en.4.400.jpg;2.0;392.6;6.667;;0.0;0.0;0.0;0.0067199999999999;2.0;9.167;0.0;C
4;Pilgrim joe's, clam chowder a condensed soup;;Composite foods;One-dish meals;3.0;en:canned-foods,en:meals,en:soups,en:canned-meals,en:canned-soups,en:chowders;https://images.openfoodfacts.org/images/products/00016063/front_en.5.400.jpg;1.0;170.6;0.0;;4.1;0.82;1.64;0.00118;0.8;0.492;0.0;C
5;Oven Toasted Old Fashioned Organic Oats;;Fat and sauces;Dressings and sauces;-6.0;en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:cereals-and-potatoes,en:cereals-and-their-products,en:sauces,en:barbecue-sauces;https://images.openfoodfacts.org/images/products/00048569/front_en.15.400.jpg;0.0;939.754;0.0;;12.5;2.5;7.5;0.0045;10.0;0.0;0.0;A
6;Extra craft ginger beer, extra;;Beverages;Sweetened beverages;13.0;en:plant-based-foods-and-beverages,en:beverages,en:plant-based-beverages,en:carbonated-drinks,en:fruit-based-beverages,en:sodas,en:fruit-sodas,en:sodas-with-exotic-fruits,en:sweetened-beverages;https://images.openfoodfacts.org/images/products/000/827/400/0078/front_en.6.400.jpg;0.0;163.8;0.0;;0.0;9.86;0.56;0.00011;0.3;0.0;0.56;D
7;Advanced Nutrition High Protein Meal Replacement Shake;;Beverages;Artificially sweetened beverages;5.0;en:beverages;https://images.openfoodfacts.org/images/products/000/834/650/0086/front_en.11.400.jpg;10.0;178.8;0.123;;6.1538;0.3077;2.7692;0.00083;1.5;0.0553846;0.4615;C
8;Peanut butter chocolate flavored advanced nutrition snack bites;;unknown;unknown;17.0;en:snacks;https://images.openfoodfacts.org/images/products/000/834/680/0025/front_en.4.400.jpg;2.0;945.2;0.087;;17.39;26.09;26.09;0.00157;21.7;0.261;19.57;D
9;isoxan;;Beverages;Unsweetened beverages;30.0;en:beverages,en:energy-drinks;https://images.openfoodfacts.org/images/products/00085/front_fr.4.400.jpg;0.0;1560.0;0.2;;0.0;75.7;0.0;0.000106;0.0;1.47;0.0;E
